mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,Emotion_Description
[-682.3743     116.92513     -4.5061507    2.4680605    2.1613185   -6.123038    -6.9054503  -12.145201   -11.466865    -9.290803   -6.375271    -5.7546697   -5.2909346],[0.21122453 0.11820917 0.16500945 0.10635588 0.17429133 0.19017224 0.16064788 0.34242657 0.15454271 0.23580414 0.10248771 0.09024715],[21.81779186 20.88289785 24.14603613 23.46990496 23.71196735 21.62703234 34.53531817],107.6660156,0.00466142,1
[-573.09863    177.42209    -11.376705     1.772297     2.881433   -7.421295    -5.3243933  -13.907109   -14.271001   -10.41003   -9.021908    -8.257689    -8.492861 ],[0.304115   0.13970192 0.15061809 0.11521358 0.27749935 0.36896494 0.22310637 0.5227201  0.21564662 0.19814432 0.14403372 0.1310758 ],[25.84673804 23.17318368 28.13795336 27.92875252 27.97773011 26.10479815 45.09830428],123.046875,0.004771441,1
[-6.11413330e+02  1.71778809e+02  6.65664673e+00 -4.83772278e-01 -6.94297671e-01 -1.22503624e+01 -1.00269938e+01 -1.32242126e+01 -1.56020145e+01 -1.43306875e+01 -1.30086746e+01 -1.22356558e+01 -8.52493668e+00],[0.34256035 0.17865132 0.20038676 0.11786453 0.1798011  0.3579427 0.17332251 0.29934067 0.1537835  0.33444837 0.25855651 0.13169768],[20.85504131 23.3670825  29.41257268 29.49296151 29.34742306 25.72642573 44.00902301],112.3471467,0.003437538,1
[-440.14127     200.73715     -40.668285     16.769539     -0.86429286   -6.843447     -3.6145985   -10.834399     -8.347142    -11.384234   -9.358336     -7.789315     -6.8989296 ],[0.4801635  0.24923903 0.21184047 0.15586472 0.3200141  0.5542869 0.27845064 0.423903   0.21523826 0.2592152  0.29321933 0.20849629],[24.53802865 19.67320367 23.43111317 24.44652821 26.3957927  28.36408962 48.4248622 ],161.4990234,0.006574553,1
[-452.53345    185.71783    -40.5923      15.398599    -4.2050915   -8.385833    -4.5119643   -9.574371    -7.33302     -9.956016   -9.1913185   -9.59714     -7.594774 ],[0.40199506 0.21298559 0.29372674 0.1766054  0.23146512 0.40445504 0.31254777 0.41929027 0.25108245 0.42148724 0.38669586 0.29723132],[23.57549577 19.59265593 23.41838299 24.81049381 25.75187853 27.5904653 49.17076306],80.74951172,0.007778791,1
[-479.27884    207.81116    -27.268307     4.421297     1.0157071  -10.787528    -4.6829705  -14.660036   -12.62135    -13.744555  -13.323923   -12.327123   -11.510114 ],[0.20056197 0.13283034 0.36914432 0.22350435 0.12530625 0.13445093 0.25294745 0.758817   0.27164602 0.26159525 0.2560637  0.27373743],[22.49524965 21.27275636 26.04932857 25.66144444 27.02325104 27.834649 45.81034847],135.9991776,0.005374329,1
[-481.45566    192.71025    -25.517433     9.122187     3.8257477   -7.9062114   -4.7268443  -14.863195   -13.7450695  -13.513102  -12.472616   -13.168637   -12.460286 ],[0.2674639  0.23090726 0.17843327 0.36773756 0.1629047  0.23008725 0.16674823 0.42883047 0.6540708  0.24717994 0.35837537 0.15671982],[23.52820687 21.29812822 27.43164831 26.74827401 27.65910573 27.21962094 45.48922335],135.9991776,0.007017874,1
[-447.27673    208.8174     -36.556824    14.186499     4.8132706   -5.995562    -3.8269215  -12.394381    -8.006785   -11.367075   -9.1030855   -8.732384    -9.464302 ],[0.37961292 0.26380804 0.2344809  0.50960565 0.19871381 0.18579812 0.12871851 0.31527555 0.68727463 0.22625978 0.19240014 0.148779  ],[23.42302387 20.20901593 24.94286874 24.93091927 26.64249406 28.14153791 46.17203711],67.99958882,0.006388238,1
[-530.341      170.95248    -23.33067     14.106328    -2.9399843  -11.072785   -10.508839   -18.952288   -16.41736    -16.109615   -9.487349    -9.501421    -9.5695305],[0.1552695  0.26340833 0.16541003 0.37412155 0.17266767 0.11262502 0.2496942  0.37740037 0.5216183  0.15039009 0.17189519 0.21948507],[21.45271126 23.38300052 27.73177844 27.1939328  27.52918542 26.92497377 46.97033224],129.1992188,0.005537508,1
[-454.2069     180.40451    -30.611141    16.213312    -4.506999   -5.313472    -5.0840626  -11.746526    -7.7009363  -10.283657   -8.1464615   -9.424248   -10.250318 ],[0.17380513 0.21677032 0.17880562 0.3961097  0.245636   0.26038817 0.6525362  0.28299487 0.34465256 0.18539324 0.28696808 0.26811656],[25.45112951 19.43092604 24.61167415 25.46475748 26.16632528 26.75451799 47.60182927],129.1992188,0.008806201,1
[-466.16663    166.78989    -34.120834    13.266192    -0.6130593   -4.7813673   -1.977625    -8.732043    -5.195644   -11.033075  -10.6585245   -8.5246      -9.153001 ],[0.14648934 0.12670547 0.24060728 0.20946266 0.18870023 0.49974996 0.24984512 0.40533754 0.18277384 0.22729819 0.4107299  0.1917848 ],[25.56493564 21.27586775 24.39932706 23.66328455 24.02853035 25.96312697 47.40189412],92.28515625,0.00965009,1
[-454.55972    185.66722    -37.585358    16.053093    -0.8877769   -4.938891    -3.9187212  -11.159638    -6.4830446  -12.616801  -11.145003    -8.840963    -7.5819716],[0.43611985 0.22676897 0.29076365 0.18937814 0.15787284 0.3914904 0.21009782 0.33031246 0.18843983 0.3429012  0.42025357 0.24777223],[24.62857445 18.8975167  24.46823367 23.00800099 24.39685716 26.10767835 47.45363433],92.28515625,0.008679488,1
[-481.42462    207.36574    -24.22893      6.203424     4.719361   -8.138346    -5.4959517  -13.72715    -11.887576   -12.599528  -12.174103   -11.465327   -11.45248  ],[0.12305215 0.21665992 0.35123292 0.17003493 0.26173955 0.16453387 0.36334282 0.24176657 0.23711385 0.6010996  0.22323124 0.28590044],[23.69906403 20.23819147 25.34376661 26.08106535 27.73663006 27.4915951 46.02003241],129.1992188,0.005263006,1
[-433.71307    184.04146    -33.740383     7.2888765    0.8825777   -9.276245    -4.63053    -11.263383    -9.616229    -7.3560576   -4.2445035   -5.911854    -7.059789 ],[0.24303351 0.12917711 0.23958692 0.40288472 0.17805302 0.2801724 0.307583   0.58396333 0.32617518 0.15110883 0.2419388  0.16708907],[24.93697258 21.51144997 25.39559293 25.18245197 25.55849717 27.15850062 48.80081962],129.1992188,0.008156575,1
[-709.911      105.4235      30.919365    -1.9193859   -6.0023837   -5.990083    -5.8436866   -6.408026    -7.537243    -9.015108  -10.173156    -8.643076    -4.5185275],[0.38454732 0.19034746 0.26688224 0.18798889 0.1160863  0.23407182 0.18345092 0.4844151  0.26439735 0.08211832 0.10270816 0.18209976],[21.08451492 26.12986191 29.90940319 29.86908304 24.91510359 18.14145858 42.52020111],112.3471467,0.002358835,1
[-531.4311     181.59776    -18.251774    -2.4014509    1.8397219   -8.869853    -6.156917   -10.161048    -9.646691    -8.837493   -8.951271   -10.919579    -7.2366414],[0.21442483 0.20105445 0.46585485 0.26340735 0.14265174 0.13861455 0.29211518 0.38515913 0.25741372 0.43313795 0.40038386 0.18476333],[25.26216647 21.22838505 26.9301372  26.7561153  27.48318838 26.20795202 45.3924426 ],103.359375,0.00553412,1
[-454.75064    185.04755    -33.932907    13.888481    -3.739512   -8.387187    -4.575423   -10.781468    -6.7514467   -7.186272   -8.058515   -10.508026    -7.7548556],[0.21737151 0.17027402 0.36741835 0.25550905 0.11039082 0.13792947 0.4740719  0.38692966 0.1951829  0.45376775 0.33419105 0.15138993],[23.0992978  17.65993097 23.0485295  22.77082314 24.11371721 27.08647084 48.5522558 ],107.6660156,0.007638818,1
[-481.61038   170.31839   -25.174593   13.431491   -6.669409   -9.969337   -8.036759  -14.444776  -12.122606  -11.371187  -10.558857  -12.818485  -10.167529],[0.25275365 0.13046904 0.16066918 0.22239073 0.22620173 0.18548417 0.5087726  0.29228693 0.20157415 0.4866675  0.22268291 0.361304  ],[24.61945574 20.63346569 26.00472038 25.16386125 25.02322824 25.96713181 46.7631617 ],107.6660156,0.009223525,1
[-538.8954     197.6881     -15.703202     0.8641128    4.9784136   -8.638945    -8.135645   -10.179626    -8.98665    -11.2955475   -9.323891    -8.386113    -5.5867143],[0.10105354 0.22823653 0.1368511  0.19628976 0.5479289  0.19845071 0.20450641 0.10002263 0.23989339 0.77779186 0.20355788 0.13267304],[25.28899735 21.93597933 27.73360568 26.75963387 27.96992424 25.92711359 44.25597536],95.703125,0.005106132,1
[-499.25568    215.93896    -17.208324   -11.422578     1.077199   -9.038977    -3.3282247   -4.567788    -4.4185414   -3.236214   -6.0446215   -8.28802     -6.027117 ],[0.12018822 0.28338337 0.19341208 0.19502664 0.560551   0.20333526 0.2874745  0.1322018  0.27116302 0.63832927 0.20861304 0.18121547],[24.60620832 18.36819412 23.70707606 26.15657096 27.07691372 27.23134732 46.12668224],143.5546875,0.00490635,1
[-385.03558    187.29593    -44.362377    27.509714    -5.50213   -3.4494328   -9.056057   -14.627784   -11.593422   -15.341124   -7.6654067   -7.0738335   -7.740424 ],[0.11393053 0.21042849 0.4457836  0.206873   0.28029215 0.22283089 0.5790159  0.4181402  0.22581355 0.5257897  0.22267571 0.26674592],[24.32678952 19.5840494  23.94811733 24.56766335 25.48465697 27.55992372 49.86794441],99.38401442,0.009103318,1
[-447.70844    184.66632    -37.180233    15.380394    -4.894278   -6.8876276   -6.8740864  -11.1663065   -8.748345   -11.132234   -7.619688    -9.440497    -8.050646 ],[0.23146683 0.14608838 0.26374167 0.12739271 0.25640815 0.47664645 0.2615302  0.35670745 0.1914812  0.39615148 0.29110298 0.14032805],[24.64594543 20.85349954 25.12408174 24.79340508 26.0245044  27.61209388 48.44862557],161.4990234,0.008318425,1
[-497.04553    147.73909    -29.969389    11.581644    -1.9931867   -5.1731973   -5.7224727  -12.676176    -8.464304    -8.093388   -5.2493224   -7.7625284   -8.0420685],[0.2533538  0.17713115 0.28091046 0.16962403 0.22520532 0.30017102 0.25134426 0.6111973  0.27188557 0.3904151  0.2940826  0.17343228],[26.89380613 18.4689835  22.67257161 25.41544227 24.47584476 26.71046875 46.75270755],161.4990234,0.009598888,1
[-432.69135    184.49272    -34.95313     12.678667    -5.0488973   -6.913925    -6.4258943  -12.2301445   -9.9375725  -12.013717   -9.230785   -10.02717     -8.427532 ],[0.30010882 0.19425163 0.26164708 0.14028534 0.20567769 0.3450893 0.23334935 0.38320643 0.2156099  0.3734629  0.31771025 0.16446045],[23.65092637 19.90771806 24.81306482 25.54900181 26.14693042 27.75937698 49.70899637],161.4990234,0.008054394,1
[-505.4958     197.93248    -21.17435      6.6348       2.098221   -9.011195    -8.250026   -13.6630945  -10.215623   -10.070994   -7.5102267   -9.182268    -9.731403 ],[0.05990396 0.20389254 0.56771064 0.18167834 0.15667295 0.11527873 0.3072225  0.21088518 0.2599399  0.7819348  0.21556441 0.09469807],[22.48663798 20.41991992 25.68216285 26.7365436  27.36954732 27.06367805 46.5437107 ],135.9991776,0.005790488,1
[-495.37775    200.67204    -23.397686     1.8738147    5.79086   -8.536069    -6.9902496  -10.83097     -7.3212457   -7.7459583   -5.499569    -4.6349044   -5.133295 ],[0.11448528 0.23939183 0.38682526 0.18965705 0.23543431 0.15144774 0.29273668 0.27284145 0.3011002  0.8158832  0.25685295 0.15176278],[24.95829325 18.89818239 24.80177802 25.08346067 26.86044491 26.82914411 45.02588452],135.9991776,0.006190002,1
[-497.77438    201.79764    -24.684368     7.1220837    1.6496627   -9.788641    -7.1908855  -12.956677   -10.352101    -9.901204   -8.358303   -10.071279   -11.147394 ],[0.28840423 0.42409483 0.16555892 0.22615826 0.14512885 0.34279168 0.42226544 0.21410502 0.43847194 0.24654528 0.2860415  0.12874526],[23.6298009  21.08223123 25.83150827 27.18611484 28.40169043 27.61122235 46.15981675],99.38401442,0.005240208,1
[-511.35913    188.22171    -21.961761     3.5225601    2.7815542   -6.8999815   -2.5259655   -8.357876    -8.392075    -9.900026   -8.402043    -5.374668    -5.086064 ],[0.22078247 0.25437188 0.17778602 0.38592803 0.20522563 0.35674596 0.40271825 0.1957401  0.31056327 0.21159983 0.3311174  0.13468242],[26.07220328 21.08283632 23.81278509 26.72241693 26.41073714 26.86685357 45.34412903],95.703125,0.006549612,1
[-5.32328125e+02  1.93314194e+02 -1.39923325e+01 -9.48220313e-01  2.27643480e-03 -1.17678175e+01 -6.82297802e+00 -1.35306768e+01 -1.52658482e+01 -1.28950739e+01 -8.91877937e+00 -7.58969355e+00 -8.47923756e+00],[0.41950017 0.3482097  0.16838312 0.27028352 0.16226467 0.33640414 0.35766444 0.20955956 0.36349693 0.18405844 0.30621684 0.19892754],[22.80173874 19.89957203 25.13444146 26.74217769 27.36311017 25.95479806 44.41614525],143.5546875,0.005092868,1
[-6.12467285e+02  1.44197083e+02  5.54497862e+00 -1.81788564e+00 -2.26628631e-01 -8.08098316e+00 -5.52031946e+00 -6.20303583e+00 -5.67178822e+00 -8.00789952e-01 -9.02915478e-01 -7.67766857e+00 -1.39578705e+01],[0.11000878 0.28678575 0.11572973 0.16089831 0.11002693 0.35294563 0.4566282  0.15877652 0.26952136 0.13230497 0.23903927 0.07517163],[24.37525147 19.10307056 28.23673014 29.97551534 28.57592519 24.2432437 44.81122721],184.5703125,0.004537634,1
[-588.81537    162.5334      -2.6611416    2.5769286    3.6150627   -6.9615235   -4.4838686  -10.997717   -13.51578    -10.741761   -9.075406   -10.878001   -13.652313 ],[0.11940902 0.24705338 0.12709269 0.20810506 0.11505065 0.311859 0.59764194 0.19218644 0.19672644 0.10880556 0.21087036 0.17970145],[26.61731314 24.985214   27.68352814 28.85760042 28.663169   25.89112713 44.89914094],184.5703125,0.004837098,1
[-589.6245     180.99507     -1.9971293    7.042932    10.000413   -2.7061124   -4.205316   -15.720497   -17.585653   -14.015803  -11.4085865  -12.518423   -16.563835 ],[0.11327289 0.29367208 0.17127654 0.25262707 0.15079647 0.29978895 0.50488037 0.23733318 0.31671926 0.2230818  0.4360481  0.17298213],[27.04205162 21.02880526 28.12831111 29.6844702  29.94277528 25.47687848 43.62185068],184.5703125,0.004270431,1
[-511.4586     172.73946    -17.377182     8.194903     2.920567   -7.1017303   -3.6780112  -14.181628   -14.629591   -12.388688  -10.112331   -11.334874   -15.064772 ],[0.18372265 0.41000628 0.1771168  0.24999075 0.16466102 0.41037768 0.451925   0.17369452 0.2482763  0.13547666 0.277776   0.20593452],[25.77695715 22.76192875 26.76787912 28.01489289 28.34737034 26.94106129 46.40762644],184.5703125,0.006328719,1
[-497.41354    177.2232     -25.470587    11.470618     0.5878386   -2.9972553   -3.331723   -11.554803    -8.701484   -11.120401  -12.427533    -9.795874    -6.8848896],[0.35019356 0.21749243 0.35136622 0.2765595  0.2366389  0.50854015 0.28478575 0.47436956 0.22647277 0.31957728 0.3190384  0.29351467],[26.22446997 21.36570823 25.4040747  25.23660141 26.15208266 25.8222113 46.49759944],92.28515625,0.007716583,1
[-517.0312     164.24384    -25.476225    10.904613    -1.7846109   -5.8861074   -6.0941324   -8.629282    -3.7767165   -3.639668   -2.5084136   -2.9605937   -3.1063771],[0.31697515 0.19571242 0.3172959  0.19094676 0.29443967 0.35821697 0.2593694  0.4838121  0.21570852 0.22718808 0.39890066 0.3838416 ],[23.24103853 18.9065548  22.97347609 23.79015046 24.83038963 25.60332124 46.72717334],123.046875,0.007277029,1
[-460.03677    189.59105    -39.02858     10.130707    -4.1591234   -6.5657997   -4.849897    -7.2064643   -4.097015    -7.367189   -3.7987745   -2.8004277   -2.166041 ],[0.40987453 0.3131818  0.32767764 0.34216648 0.3018632  0.34841946 0.3336118  0.3464763  0.4567236  0.25918975 0.29437727 0.21774538],[26.03836606 18.5673511  22.6653     23.93945267 25.46539444 27.23327828 47.34195039],92.28515625,0.007523932,1
[-4.8844443e+02  1.7214650e+02 -2.9410543e+01  1.1855606e+01 -4.1057763e-01 -3.9768405e+00 -3.8362207e+00 -9.7793636e+00 -7.5284920e+00 -1.0546066e+01 -8.5029917e+00 -7.7477713e+00 -7.5426731e+00],[0.2943951  0.22376536 0.42809317 0.22063115 0.1742805  0.24688973 0.28861794 0.64577156 0.2921223  0.27860498 0.23026565 0.23647963],[24.45305822 21.65368101 24.43412687 25.18245212 25.64809407 26.20071588 47.4863729 ],123.046875,0.007673855,1
[-482.2659     182.4845     -29.312944    13.019269     2.6047254   -3.4848115   -5.3757815  -10.390357    -7.2498503   -9.101855   -8.048219    -8.172566   -10.782378 ],[0.35356623 0.44512177 0.353215   0.32459393 0.21422814 0.3372845 0.37606287 0.3699492  0.37184635 0.25931704 0.3203862  0.20775071],[25.30664469 21.2163093  24.51587396 25.36845047 26.50270414 26.81280192 46.85257631],89.10290948,0.006924639,1
[-505.8967     185.22533    -20.602472     8.383932     2.0952115   -5.882155    -4.2943106  -11.920387    -8.8509655   -9.346917  -10.306364    -9.686703    -9.480673 ],[0.26862043 0.21966022 0.28808373 0.24445698 0.25542173 0.21619292 0.2625386  0.48238617 0.2510064  0.3256898  0.27975762 0.4160217 ],[24.22089586 21.61511355 24.71155093 26.25966673 27.93427967 27.20705979 46.38915488],83.35433468,0.005898822,1
[-5.1458221e+02  1.9866867e+02 -1.8083000e+01 -3.9699653e-01  8.2977390e+00 -5.9908910e+00 -4.0632052e+00 -1.1643853e+01 -9.5343075e+00 -8.5738487e+00 -9.4541178e+00 -8.8622847e+00 -9.7850046e+00],[0.3849272  0.19054979 0.20719714 0.17226695 0.40677872 0.3512447 0.24351148 0.53317755 0.23080409 0.1821056  0.12506196 0.25713173],[25.62189604 21.8858937  25.22120217 26.69975463 28.43234485 27.08582542 44.69827209],161.4990234,0.004568556,1
[-525.6803     170.17137    -32.22226      5.337736    -0.6069457   -8.4074745   -3.6096551   -8.186439   -10.074967    -9.938505   -2.8107064   -3.9535642   -5.6020837],[0.20004834 0.24735005 0.27790037 0.49970704 0.3118698  0.39788368 0.22771962 0.28470463 0.42450964 0.19339609 0.1996743  0.14291161],[24.36843239 17.58161889 22.08679225 22.60810854 26.03070564 25.80385315 45.81350497],89.10290948,0.006947542,1
[-503.28918    168.58296    -23.743296     8.379433    -2.7606707   -9.292375    -5.708795   -11.080808    -8.745844    -7.9251547   -8.261456   -10.077238    -7.7037015],[0.21136661 0.20252177 0.21049073 0.37053522 0.1844942  0.28323 0.16288763 0.34466946 0.60943156 0.21969467 0.29499748 0.14400537],[24.51292723 17.73736363 22.86736594 24.04028062 27.45016698 27.43547697 46.4685207 ],107.6660156,0.007941113,1
