mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,Emotion_Description
[-400.19943 122.383415 10.508892 11.068775 0.6068466 -15.463724 -0.18931024 -10.91029 -16.709486 -13.252229 -18.58535 -16.185146 -21.476297 -12.94347 -9.53758 -11.26063 -16.242256 -12.211893 -17.604126 -13.182346],[0.66960895 0.2362401 0.14222923 0.15008649 0.06836556 0.08416828 0.24281251 0.505294 0.16266616 0.1692861 0.18346405 0.37349865],[25.018892317472865 21.474777804676222 26.279876437499983 24.30540564793857 22.44579860249106 25.007687650209782 51.68083849972851],161.4990234,0.044078995,2
[-235.12216 86.97258 -22.552357 5.7920356 -0.20773344 -3.2505774 -4.8379273 -1.1076247 -7.51921 1.976401 -4.3186293 -2.7916844 -1.7226673 -1.1445792 -5.2242174 -0.34872553 -6.370516 -3.4107301 -5.6231465 -5.762613],[0.37116566 0.3070052 0.4356275 0.34584722 0.39324382 0.50113785 0.37860665 0.50639725 0.4346635 0.48866302 0.44016045 0.43734172],[18.59083267245106 14.59400205954298 17.16159264834328 17.953416594712596 18.411865784061636 18.96287971433805 49.13874980218976],123.046875,0.09035871,4
[-364.20157 131.69995 9.944226 20.090788 11.527536 9.309716 0.96127915 -5.762887 -8.7190485 -15.154273 -11.859661 -5.8009267 -9.85713 -9.528768 -8.881929 -1.153196 -6.6759887 -4.8664074 -3.699877 -3.4965768],[0.40179875 0.23221248 0.20146295 0.22388132 0.41746888 0.30212963 0.19753303 0.1849323 0.1762284 0.20370637 0.29860297 0.5047746],[19.270852787866303 17.779845374490048 19.456725024880146 18.54794831628241 18.96195704950504 18.395732985761786 46.682802034665116],172.265625,0.056543685,2
[-285.74542 175.674 -22.01059 39.666363 39.05356 6.0798697 -4.313446 6.807857 11.758428 7.50529 6.7065597 -4.0465884 -14.476667 -9.201893 -4.62278 -0.057066422 -0.40988252 -2.3011255 -1.9248269 -3.7426693],[0.27167246 0.28330427 0.26972243 0.21655808 0.19020832 0.2625274 0.27573147 0.42361724 0.65942943 0.5547397 0.3970464 0.30102718],[19.72496793251798 18.588408065357235 18.393961551345754 18.238311265217597 19.905676100932887 20.112173245767615 45.74077573928903],117.4538352,0.08460219,4
[-285.40253 202.82198 -31.17068 41.118313 21.508425 -17.951796 -2.514556 -9.259326 -6.5981894 6.577077 -1.9327179 -4.805067 -9.723794 -11.661101 -6.189899 -8.695325 -4.208475 -0.116769314 -9.296466 -3.6599662],[0.24374837 0.22713926 0.34642664 0.3145037 0.49981457 0.28994617 0.32675436 0.522367 0.3347639 0.20318845 0.16052692 0.37740952],[23.620630408885702 16.885822793211435 20.0053426247822 20.330380784416175 22.48007097610712 26.918946697026236 45.40255226603699],143.5546875,0.07745221,2
[-204.6555 132.03323 20.653112 28.785656 -11.319933 20.539917 6.535627 6.994172 1.9260498 -2.775434 -8.892314 -4.120653 5.1276507 -3.0910451 -5.7629704 -2.0557292 -10.802909 -0.75356233 -4.8786554 6.712669],[0.37743747 0.36065936 0.44000006 0.3210769 0.3957223 0.2655467 0.16513509 0.18946868 0.3067765 0.3778538 0.18816525 0.21372578],[19.256504637402173 17.10072217245199 20.654296174553874 23.70161268050591 23.48849307719443 22.94446962926834 52.13423466201969],103.359375,0.098390445,4
[-126.662224 92.79966 -31.786543 18.353804 0.21864443 5.8552933 -4.953926 1.748678 -7.2647614 1.654339 -0.23295847 1.5685533 -4.532181 3.5969315 -3.8552108 0.42405248 -2.1218464 -0.20542414 -6.4428906 1.7906319],[0.5591612 0.41706824 0.4200303 0.4578079 0.44096917 0.52070177 0.45529553 0.48059288 0.38245738 0.40940163 0.42838028 0.38252485],[15.752138531449045 13.526780048130375 16.694308894600614 15.926964795705352 17.031825090022 16.908706569019156 47.85761977157878],92.28515625,0.0558521,1
[-387.09528 71.1472 35.20512 19.214474 9.619825 1.0254349 -3.6917908 -7.9157 -10.793034 -8.842531 -9.816148 -10.748063 -10.957118 -9.408933 -8.740838 -3.8256135 -1.0626428 -1.7519672 -0.5352754 1.87153],[0.098040275 0.13252132 0.21884614 0.13142622 0.10747819 0.12058076 0.44042602 0.30872324 0.17734233 0.28178754 0.18713523 0.11831882],[14.32696488137943 22.74158535814561 20.460378848545734 18.96654169567368 18.37434001842484 17.503795614133576 47.347410254153985],92.28515625,0.07450903,3
[-303.94736 131.65594 7.9816356 20.516605 14.25334 -1.7661806 -5.682286 0.5412968 -3.6546006 -6.051367 -7.748849 -8.479482 -13.49411 -9.221246 -5.5103927 -5.9175525 -9.522815 -7.497435 -11.763012 -5.831657],[0.27911714 0.22264558 0.16297035 0.18136364 0.20087896 0.32188767 0.2840795 0.40854016 0.49611694 0.36023742 0.3291339 0.32244793],[20.7784670327244 18.259874151212333 19.459925107261366 19.815270784145245 20.442008087105904 19.112818554521294 46.95653979027592],99.38401442,0.06885757,2
[-259.3851 125.59352 9.590237 19.072123 3.7225378 -2.7149374 -0.7330278 -0.22657223 -4.611665 -4.5197697 -9.426356 -6.9261823 -3.7827327 -2.809188 0.54481167 4.5387683 -0.09821924 1.4215226 -6.2545414 -1.7768683],[0.24951285 0.16098782 0.15624346 0.20186687 0.3719539 0.24725464 0.20475914 0.26456785 0.28710532 0.37665918 0.2621163 0.32100925],[16.121035538329583 17.110070315484705 20.207653453245204 20.134401598857288 19.485818641172834 19.1425581418458 46.67416699393867],112.3471467,0.070155114,4
[-314.67294 142.38147 28.436983 25.436352 5.4750175 4.300728 1.5214512 0.30615002 -6.1048794 -15.341298 -14.892972 -5.4663815 -4.2268534 -5.859257 -4.309707 -4.9295373 -7.747639 2.1617286 -4.9543705 -5.8454876],[0.28279373 0.29653794 0.27981663 0.17959028 0.26385298 0.29867727 0.2491975 0.24744445 0.2046692 0.26524967 0.29644424 0.30631623],[21.538153007296547 18.82896298213092 22.743507978287237 23.258061504020898 22.141968043531296 21.3545731884084 48.13659008995482],135.9991776,0.07862036,2
[-122.07728 159.96216 -66.28246 68.2852 9.876445 8.340688 -8.219171 1.2952417 0.79047465 -13.882215 6.6942387 -10.987124 -5.5947747 -0.33517635 -10.332942 -8.429382 -4.616339 -0.113332756 -10.344056 0.15015459],[0.22636701 0.31671828 0.52784103 0.34357148 0.32998168 0.34300664 0.37972236 0.2233314 0.18669212 0.44413006 0.3035189 0.2791838],[25.501123729927215 17.60339712282566 20.327821884932312 18.185923446685585 19.141878185826013 20.133126762564583 50.13110589195497],161.4990234,0.19530937,2
[-246.86745 102.66794 25.080141 25.430027 -7.41473 7.9300346 0.4518799 4.622463 -5.673292 0.68197155 -9.514998 -7.8002586 -9.003884 -3.3688784 -4.8606873 -0.9778676 -6.4317594 -2.3708684 -5.757338 -3.0150828],[0.31527624 0.2110835 0.21035649 0.3506263 0.4074199 0.17525658 0.104517564 0.15846714 0.27548346 0.47268456 0.31911245 0.2248562],[19.29250553640173 19.48067800124263 21.09026860845927 22.169345724815575 20.517330342355432 20.560942018223216 50.43642615839305],172.265625,0.080987416,2
[-154.30013 115.49771 1.7142303 23.109951 11.309897 12.34671 4.21124 5.027412 -3.7599921 -3.2869425 -10.722892 2.7572803 -10.234252 -2.3493524 -3.254937 -7.586551 -12.015292 -5.822805 -6.980647 3.4440749],[0.46931067 0.28055763 0.3656221 0.25509498 0.3655575 0.8202064 0.4363804 0.17025997 0.10942783 0.18995802 0.15490854 0.15370256],[20.623370939920388 16.115725237863202 18.33621201578632 20.190995616773176 19.53193414792226 21.16305789182115 45.648947814150404],143.5546875,0.09682062,2
[-286.99213 143.09026 6.717495 35.618607 17.024994 -2.862201 3.777142 5.4469705 -5.1499662 5.4693055 -7.865172 -0.90345705 -5.8540306 -2.654122 3.2929256 -0.77734303 -5.52992 -1.0781915 -6.2791657 -7.154749],[0.46269628 0.2950119 0.17615429 0.19216605 0.20060594 0.33083937 0.32271326 0.3584183 0.21089543 0.20971096 0.3459585 0.44756788],[19.526337537616254 17.740001457717028 22.507041218143343 20.991475880621493 20.23243973222771 23.179097799706483 50.83845014671159],172.265625,0.07062179,2
[-301.82745 194.76944 -16.656902 -3.8666346 3.5937717 -12.079965 -8.805976 -4.3447905 -2.4712963 -5.2591567 -3.788721 -8.8366995 -11.267818 -7.944298 -13.776845 -13.992724 -8.734103 -9.956285 -13.299391 -15.100366],[0.34192064 0.18302116 0.14824244 0.12957048 0.16372696 0.18292062 0.22020823 0.05765009 0.08808993 0.14474443 0.31870574 0.8476877],[23.70588669586259 19.64256542327051 22.559228965063905 22.406847269892854 23.358706881725006 22.00698321098891 45.27620746471674],60.09265988,0.07218459,2
[-242.17067 177.05717 -53.813137 60.450012 15.855987 -8.3862095 19.57885 -21.752058 3.9274778 4.166808 -8.4240055 6.3505826 -17.446392 2.5587368 11.033013 -19.418562 -5.2867775 -2.2271028 -7.8283787 -6.602444],[0.31333694 0.11878304 0.15605293 0.32506555 0.45630017 0.33672825 0.32664227 0.30254632 0.27341864 0.42216957 0.33865985 0.48443833],[24.538096923239063 19.040055248831237 22.168541638069943 23.02276834061315 28.796210514575666 45.753363613553425 40.64379076703521],103.359375,0.07881195,2
[-116.54499 92.453255 -24.7482 30.92008 -3.2712393 -1.9250792 -6.464186 -1.0702211 -10.424531 1.0454092 -6.9782286 3.2647371 -5.424908 -1.1751553 -7.9164767 -2.5243452 -10.174625 -1.4855602 -6.387659 -0.6899004],[0.35446826 0.5497464 0.37475362 0.33562848 0.5191215 0.4085522 0.35848638 0.3536253 0.45804554 0.37018308 0.34283745 0.3689355],[18.807402163984325 13.927419470394756 17.392707723096102 17.609845704499804 17.891714585443115 19.45376168952056 51.736362841239824],135.9991776,0.07910361,4
[-347.5479 120.775024 51.294987 38.312775 8.578074 7.6850743 11.589879 3.813274 7.4882364 7.4247427 -0.10111793 6.4508586 -10.089679 5.934005 2.845587 0.34409755 -0.20735306 -1.4084761 -2.869423 -0.5995887],[0.5147288 0.47784463 0.32070774 0.1598911 0.08288083 0.13805282 0.28521445 0.31265044 0.29880226 0.33822557 0.38967302 0.4548168],[22.55440387900098 20.774412398015915 19.91857702452707 20.017572525474034 18.665073813725993 20.008743829776172 47.41044433847488],143.5546875,0.08661706,4
[-131.40913 109.03657 -15.516541 26.634764 1.1277838 7.2103558 0.63352495 4.8348193 -5.524813 5.9104385 -8.770467 -1.152099 -6.8722076 -1.9354455 -3.1507735 -3.1631188 -9.227429 -4.8801064 -8.283734 -3.9581606],[0.36570993 0.26999646 0.238089 0.25265536 0.46321636 0.2715188 0.3501905 0.6228065 0.63604426 0.7410459 0.47595927 0.4332513],[20.2483341758022 15.003847364752641 16.1105297152337 17.531927633891843 18.170685179446718 19.01514999681471 48.22799523854817],107.6660156,0.075225554,4
[-116.00769 108.55713 -24.280615 24.279203 2.0351734 2.1037319 -3.1604667 0.85815805 -7.083017 3.4794645 -9.211792 -0.775203 -5.2440734 -4.3802905 -6.5656424 0.35056117 -6.557086 -1.6820372 -7.975662 -3.9015176],[0.19891211 0.17472535 0.39184186 0.3029027 0.5365835 0.36806497 0.32484844 0.30667067 0.27567482 0.5702328 0.27928188 0.37775055],[19.870083175620163 13.387016474425899 18.518576541378213 19.929619355562743 19.930309173755376 20.41021897856845 50.031926264453176],103.359375,0.08160114,4
[-178.71272 90.80144 -13.766793 39.203342 15.614063 21.724976 -3.913723 13.153018 1.5589979 5.1541786 -2.088596 6.1740913 -4.2539144 1.6830838 -6.843471 -0.207398 -7.9662814 -1.9145559 -7.613472 -5.5708323],[0.4273509 0.48381796 0.51349396 0.40836677 0.2444948 0.23762812 0.29551843 0.35580927 0.38273743 0.4343758 0.33718958 0.29476094],[18.734302843967882 16.809341953516007 15.96072928151448 16.534788670062433 18.307223148204358 17.091739127097572 49.8120960534949],143.5546875,0.08350464,4
[-76.31375 176.86478 -25.840069 37.318302 10.053478 5.497313 0.002144375 3.2081928 4.4207497 1.7647184 -5.2252703 -2.4696689 -5.996287 -0.93013376 -9.056195 0.072417006 -3.482287 -10.593895 -5.0374084 -4.1772785],[0.29683352 0.40407035 0.3566485 0.41279548 0.6149462 0.54185736 0.4255871 0.34914142 0.40579066 0.47876337 0.39228755 0.31733504],[22.7909808717636 15.086040374830427 15.2676844548889 15.595009420917782 17.15786657090691 21.213963530121752 47.14192799319241],99.38401442,0.34103832,4
[-204.63559 112.96474 8.874776 30.934263 7.246586 9.631372 1.6293236 8.757425 -3.845216 9.078577 -5.016525 2.5837753 -6.7049785 -2.1300535 -4.499558 -3.0128949 -1.5700396 4.50121 -4.0160084 0.85111624],[0.31738845 0.28031883 0.3070411 0.32303497 0.3807059 0.47184345 0.41587755 0.42798445 0.44840375 0.30215907 0.2685621 0.2964803],[20.32460992823373 12.868620657102538 18.008534402033533 17.57820012311507 18.40139587622943 18.119667412369562 49.4292404327886],135.9991776,0.08732631,4
[-151.21994 129.2211 7.437411 10.6548 2.0497165 12.083962 -2.9739215 6.373969 -0.34153655 1.469165 -8.250519 -5.7569704 -5.925807 2.4626276 -6.6727962 -2.1277816 -6.794303 -0.049477402 -4.222713 -3.6214817],[0.3257643 0.37881178 0.2978721 0.43494478 0.26604238 0.2552043 0.50586003 0.44260484 0.6855966 0.4257037 0.45329484 0.4882098],[19.060001068869045 14.241849501262736 17.382207320421838 19.557749859724712 21.035350387913514 18.7855706999634 48.02630949104551],95.703125,0.094139524,4
[-250.36778 167.66103 -21.785433 0.09583581 9.598202 -20.360662 -7.3215327 -4.2962785 -16.588728 9.660685 -13.507009 -3.305436 -7.1781106 -18.975002 -15.669735 -5.2235093 -6.171612 -3.8790002 -7.694559 -1.6210288],[0.31010354 0.13871066 0.17837934 0.19746064 0.4950377 0.20360246 0.26262558 0.13447666 0.15050401 0.23621169 0.27022544 0.7315752],[20.6022444993695 19.131823774831993 21.02112250263855 20.851038331663663 23.802981031738298 29.754397949356708 47.67218847919029],143.5546875,0.06624786,3
[-105.0104 127.20156 -28.990849 29.782991 8.098256 3.767162 7.989163 5.232934 -0.21881215 5.4445314 -2.6023629 2.144699 -1.6696666 -1.8912299 -2.1151254 0.38185364 -6.361068 3.7779913 -2.6512833 -0.38879505],[0.3546849 0.2828506 0.40175602 0.55291456 0.7885841 0.49025658 0.36034614 0.34308362 0.36900228 0.3556359 0.31607604 0.5512086],[18.077517619853015 14.020339638701918 15.7616626726101 16.340227801196416 16.818162439057616 20.163549708078925 46.32114314402696],129.1992188,0.10393454,1
[-291.47836 145.21346 8.229773 33.751198 14.534558 -0.24534105 -2.6106105 -2.8834474 -8.707286 5.933988 -3.1033835 -0.48103464 -3.586236 -5.793215 -8.41908 -3.5467348 -3.3686898 -5.7590995 -6.652129 -2.5665295],[0.31798694 0.18459468 0.24977492 0.22456187 0.2057619 0.16208862 0.37302938 0.2447132 0.10002932 0.16227038 0.34643295 0.60053504],[22.053658478756912 19.23138643980886 21.43445938906985 21.446939476305513 23.750075483440398 22.96664242161269 46.975642884854246],143.5546875,0.078758284,2
[-161.90208 135.38733 -39.5137 30.638779 5.97617 4.472111 -3.3522015 6.043252 -9.343482 -2.800572 -6.4126525 -3.4573061 -5.8569655 -4.8582463 -10.536476 -7.1246214 -8.81515 -4.5915074 -2.9162934 1.2928292],[0.47988874 0.29258716 0.55913717 0.39919952 0.45216414 0.28351334 0.17371388 0.39810088 0.27378193 0.1816294 0.18882194 0.27471313],[20.927646919098038 16.195274506944948 18.914061034653397 20.625730321750545 20.772456610688366 22.31671721639219 48.888030375722245],151.9990809,0.08686251,2
[-210.9611 122.07859 -9.76001 28.36576 -9.593056 6.6144648 -4.0877542 -6.9066486 -5.374937 2.2132108 -6.382237 -10.594124 -10.133269 -11.053839 -10.360812 -5.7951407 -12.641123 -2.042177 -4.4051504 0.022411304],[0.38807172 0.196167 0.2913673 0.23770273 0.29595742 0.22176187 0.34412587 0.36164215 0.2403042 0.30519918 0.33082604 0.63609433],[21.28509536422148 17.34255866866658 19.6372508941026 20.39007994655746 19.893680181870856 20.700716875801803 48.28342057891496],69.83741554,0.06507124,2
[-149.35223 94.99172 8.944337 24.958591 19.108759 14.262312 4.3540072 16.613352 2.0812128 3.1689167 4.0435762 -3.31005 -1.3857981 2.8659627 0.4370585 0.7970806 -1.9325925 3.7985237 -3.8425333 1.5083479],[0.382756 0.3776441 0.37378627 0.34555048 0.39998478 0.42203718 0.5369041 0.4546799 0.46297497 0.52081174 0.51069146 0.57136774],[18.11162026439472 15.298560881994712 18.242472251197785 17.075256378619674 17.98846474462902 17.627069614105928 45.303001778455084],112.3471467,0.09724477,1
[-153.98044 113.76318 17.045237 22.856298 7.7770014 6.317557 7.873378 12.979854 -0.13800207 11.555099 2.4713082 2.1518588 -3.1808832 0.76860225 1.7369308 5.1432824 -0.044214647 5.0354385 -1.0681692 -0.63269615],[0.35452682 0.40835413 0.52700686 0.37325206 0.34882972 0.37969357 0.37109762 0.51447713 0.4634081 0.6255957 0.40677422 0.32811958],[19.31940988610465 14.433815509286111 18.38672154506101 19.046592567377655 16.836484202570638 18.260675120559082 45.99717333090453],103.359375,0.11958056,1
[-220.59665 110.506485 18.002756 38.39053 13.104094 8.703021 5.7861085 15.933956 2.199567 5.147437 1.9537271 3.5162811 -3.270093 4.665433 2.5947995 4.646549 1.6834859 -0.19707389 -4.2012105 -2.2773695],[0.32935143 0.3411739 0.26684198 0.24102788 0.2986974 0.3100748 0.46377906 0.302487 0.33442774 0.55628514 0.42006293 0.4123467],[18.58296729183005 17.035032167260805 21.40158520086428 22.694974961480856 21.2746239775149 19.127392125010033 46.61384660882324],99.38401442,0.08116056,4
[-29.240656 118.13152 -27.82168 32.1329 2.3007405 0.2246959 -0.025945507 7.205523 1.0102177 2.8956974 -6.557656 -3.0496833 -8.7422285 -13.191245 -10.978141 3.354609 -0.32413837 -4.563945 -8.587298 -0.18447886],[0.28948534 0.28283384 0.38305813 0.26022333 0.40041542 0.4455268 0.44846752 0.7873294 0.44534066 0.34240216 0.24571307 0.2939284],[23.921285332477108 16.418100424707326 16.910118813160604 17.67605707862117 18.49239129358613 20.137615944809472 47.42642657510106],107.6660156,0.26696855,4
[-159.24292 101.92521 6.331446 24.86512 4.827211 11.326188 -5.3754907 7.6673565 -7.914658 7.531161 -1.3147727 2.4257643 0.26174307 2.0918639 -3.420475 2.5138564 -2.4975867 1.544902 -2.651631 1.4557433],[0.41358978 0.39666274 0.51469254 0.44153318 0.542465 0.33398128 0.29121143 0.39360014 0.41767493 0.5195693 0.36720452 0.4002697],[15.00239452940546 14.22180976972199 17.440867471613938 17.35612807275303 18.089533017491533 17.231331091819396 48.85680321041507],129.1992188,0.07706125,1
[-166.60985 74.33612 22.829773 36.213566 15.123511 16.14619 -4.025903 9.156447 -1.2780043 7.978775 0.48290303 3.1416256 -1.8336576 3.6017933 -2.3456516 4.327459 -2.303001 1.4220282 -4.6619544 3.2193859],[0.45430502 0.38831463 0.44104645 0.40043423 0.387187 0.33439228 0.31376776 0.31173635 0.29930973 0.40143725 0.41357222 0.4902564],[16.54717774955376 16.52618909509159 18.505681492893316 18.19341373353196 18.302856521170106 16.55044979325612 48.86679040741274],135.9991776,0.09610396,1
[-202.46782 123.09815 8.177603 21.775106 20.465775 8.166373 2.2491333 7.3802166 -5.201815 2.3868375 -2.5883563 1.1876116 -2.4940372 -3.3337379 -0.5822288 5.0067434 -10.404738 1.6442022 -4.8892164 0.6074578],[0.39668986 0.5527451 0.41669068 0.37587446 0.32439598 0.36650237 0.3185337 0.33679247 0.46214235 0.31076026 0.31359962 0.28294003],[20.867989695446447 15.741466443054367 20.140012142046718 18.929986189857978 19.91796447957893 18.656985726503116 47.11873470746896],103.359375,0.105666935,4
[-183.74167 105.2487 -13.046846 17.516615 1.7777287 9.51817 -2.2226138 5.1473045 0.3715184 3.1373518 -2.8289149 3.0847397 -3.0213315 1.034111 -0.87259805 3.460928 -0.59239435 1.7822875 -1.75063 2.8867092],[0.49394155 0.51107806 0.5087011 0.48626053 0.5067501 0.49230772 0.4968623 0.40744388 0.4931543 0.6536065 0.5614246 0.5266046],[16.24728595743849 12.970683360009453 15.352931659388142 15.364038033880522 17.005297449192344 16.65831639521232 47.29888169122949],161.4990234,0.09028747,1
[-142.7599 88.751434 -4.3107514 33.474285 -4.100596 15.278871 -2.0884519 1.675939 -6.3782682 2.1509404 0.010256017 0.32422665 -3.56722 -2.449308 -6.6682405 2.2740562 -3.4030154 -1.1518642 -5.7773175 -3.1882846],[0.39882427 0.33496484 0.3417763 0.45537695 0.43682683 0.39703032 0.33311266 0.34996292 0.25857982 0.21002394 0.2604217 0.25312343],[18.822644934860346 15.084588055887084 19.85394161048139 19.092827768490537 19.855143159834856 19.0664774017548 49.01804350686024],123.046875,0.0851095,4
[-232.45778 120.66275 2.1485004 33.957405 -10.682799 -4.639894 -10.138764 -1.2687448 -11.06396 -7.61734 -16.689716 -11.449333 -10.114156 -4.721799 -3.9960308 -5.2020183 -9.069884 -6.4188943 -13.832436 -10.206539],[0.16252671 0.27651757 0.6422608 0.29410437 0.12600105 0.13535543 0.11917766 0.22702026 0.1289363 0.26311597 0.3043092 0.12264398],[23.599903758409493 18.35129585299677 21.309801190238662 22.19889114739232 21.67070469862652 22.940874144123974 49.64142274389996],151.9990809,0.080619715,2
[-160.05653 96.12819 -1.8016394 11.679979 18.37202 13.545899 2.936666 14.609389 2.7297006 6.813518 1.9537549 10.333589 -2.832206 -3.314674 -2.539114 0.26498586 -6.5231476 0.83701736 -6.771171 1.038056],[0.36916003 0.3383704 0.3092694 0.38857254 0.58946836 0.38668957 0.35385942 0.2871962 0.4270448 0.32728675 0.3460856 0.5706472],[19.89476863007374 16.540271463193058 19.447686122842427 19.94765971227515 21.673866776199358 18.332817024691934 47.56545294282773],172.265625,0.108842984,4
