mfcc_mean,chroma_mean,spectral_contrast_mean,tempo,loudness_variation,filename,Emotion_Description
"[-6.3594751e+02  1.4988919e+02  3.1280663e+00 -6.3333648e-01
 -3.9934450e-01 -8.5298758e+00 -8.8135681e+00 -1.4780080e+01
 -1.6307028e+01 -1.2783908e+01 -6.4397860e+00 -3.7146819e+00
 -1.5066230e+00  2.0794783e+00  2.5151544e+00  1.8548998e+00
  9.1980708e-01 -5.5081594e-01 -5.5704451e-01 -8.9936310e-01]","[0.37570095 0.12416482 0.14854413 0.0755619  0.13805155 0.15509126
 0.17857487 0.4706775  0.15550974 0.1834231  0.09759735 0.25727707]","[23.49356885 23.40185289 29.62823987 27.47430441 26.9401527  24.2579071
 43.81772084]",129.19921875,0.004147657,Q1_2Z9SjI131jA_1.mid,1
"[-552.1632     194.42819    -17.966963    -3.2775187    6.686288
   -5.489816    -1.9106872   -8.346566    -8.667225   -10.88731
  -12.808886    -8.12513     -6.521046    -4.446794    -3.3312807
   -5.7744308   -6.6016316   -8.819663    -8.793549    -4.1585865]","[0.30262986 0.1925418  0.4034616  0.23524028 0.21170707 0.13758157
 0.27091342 0.37845552 0.14576566 0.1866774  0.15621947 0.372151  ]","[26.34180977 23.53276829 26.77030724 28.67108732 29.14000444 26.33754673
 45.44937263]",95.703125,0.003972359,Q1_2Z9SjI131jA_10.mid,1
"[-6.2699298e+02  1.4344884e+02 -3.5093741e+00 -8.7620173e+00
 -1.2306707e+00 -3.6547546e+00 -1.7797338e+00 -2.7753713e+00
 -4.4956746e+00 -4.2190890e+00 -8.4656315e+00 -1.0985732e+01
 -5.0020890e+00 -1.1137192e+00 -2.4052806e+00 -4.2037754e+00
 -7.4601026e+00 -7.4417868e+00 -1.0719230e+00  2.6499698e-01]","[0.27670184 0.16058029 0.3183462  0.13587272 0.13891616 0.08772743
 0.16934265 0.46019444 0.1647794  0.1981338  0.11393227 0.23444726]","[23.57205539 20.76707128 25.09136535 29.6565032  28.13024177 25.45993266
 45.32774815]",123.046875,0.004040486,Q1_2Z9SjI131jA_11.mid,1
"[-603.77        170.47441       1.341994     -3.1228747    -2.9743023
  -13.419513    -10.40467     -14.665636    -16.267797    -10.9975815
   -5.9580173    -6.0124507    -4.3009906    -0.83436173   -0.6995295
   -1.5619303    -4.030645     -8.474371     -6.3032207     1.2880213 ]","[0.4557779  0.12340797 0.11587992 0.10185302 0.3337445  0.25193545
 0.18308344 0.49382883 0.14766602 0.16624875 0.09041381 0.2549614 ]","[20.85318856 20.95625316 28.13653069 27.87648438 27.86208723 25.17346217
 44.57857671]",107.666015625,0.0043941895,Q1_2Z9SjI131jA_12.mid,1
"[-5.5782397e+02  1.7731920e+02 -1.5326886e+01  4.0873033e-01
  1.1304777e+00 -8.2393551e+00 -6.1760144e+00 -1.1573692e+01
 -9.5571547e+00 -6.5313821e+00 -8.8362122e+00 -1.0522114e+01
 -9.0676060e+00 -7.7523966e+00 -6.7494678e+00 -7.6214318e+00
 -9.7327604e+00 -9.9021425e+00 -6.9133177e+00 -4.2579474e+00]","[0.40870887 0.24044596 0.40983117 0.20719883 0.28390098 0.1226296
 0.22116132 0.2501122  0.17285277 0.31874284 0.1610268  0.31179628]","[23.5197438  22.91532014 26.0924302  27.59059207 28.0181806  25.9771374
 46.25558907]",123.046875,0.0046786503,Q1_2Z9SjI131jA_13.mid,1
"[-541.8457     184.90417    -15.884303     3.1467264    1.1766621
  -13.084719    -8.4245     -13.896421   -14.621918    -8.05964
   -3.315462    -4.1475954   -3.9237275   -5.620268    -9.52925
  -10.372923    -5.8224206   -3.7357104   -7.294718    -4.7644815]","[0.17594118 0.08279519 0.26502067 0.5406567  0.20572269 0.28691328
 0.14238487 0.27661216 0.24029246 0.12275034 0.25503784 0.11255142]","[23.0432199  22.71994236 27.87402487 27.63442557 28.95951745 27.11349121
 46.22873922]",123.046875,0.004358062,Q1_2Z9SjI131jA_14.mid,1
"[-536.17914    188.28368    -23.778078     5.3954525    5.2810388
   -6.831631    -4.554212   -14.718676   -14.766367   -12.699654
   -8.358895    -6.92968     -7.0544877   -6.460859    -6.862498
   -6.1575894   -1.2859448    1.8155463   -3.4592748   -6.707597 ]","[0.16968131 0.22209789 0.12068771 0.27235907 0.32001585 0.18559703
 0.38192585 0.22408265 0.46561742 0.25397798 0.15726441 0.3343817 ]","[25.96858064 23.63826877 27.07299334 27.42956167 29.45013848 27.57846678
 45.17163423]",135.99917763157896,0.004468426,Q1_2Z9SjI131jA_15.mid,1
"[-549.85297    187.8727     -13.804793     2.4268954    2.9600892
   -6.3299537   -3.1038227  -13.459946   -16.936241   -14.74284
  -10.980458    -9.941631   -10.486633    -6.210943    -6.4335084
   -9.433269    -7.305617    -7.673683    -9.304453    -2.4754508]","[0.49530095 0.20163377 0.20573512 0.11226126 0.2821914  0.5829996
 0.25166944 0.35800064 0.16252664 0.2188641  0.14490956 0.15291926]","[23.42223357 21.68664063 26.27517665 27.81903873 27.56488394 26.10869351
 45.46514459]",117.45383522727272,0.0051585874,Q1_2Z9SjI131jA_2.mid,1
"[-582.43774    177.4241      -2.397498     3.0626225    5.7789264
   -6.0218983   -5.4063144  -13.604455   -15.902782   -14.6375675
  -12.215039   -11.55946    -10.387631    -5.7552915   -4.158577
   -4.5122075   -4.0728436   -6.0656404   -7.2914634   -2.258132 ]","[0.4595107  0.20500877 0.16120765 0.10778223 0.25966957 0.3031092
 0.15820377 0.31451815 0.16504224 0.2905489  0.22874954 0.18555018]","[24.38164348 22.17244535 27.8142963  27.59788836 28.41904575 25.87182369
 43.8097714 ]",123.046875,0.00398358,Q1_2Z9SjI131jA_3.mid,1
"[-5.42017029e+02  1.95862610e+02 -1.35727234e+01 -1.42600611e-01
  2.69416308e+00 -9.22432518e+00 -5.22913170e+00 -1.19500065e+01
 -1.28747969e+01 -1.14317894e+01 -1.05295410e+01 -1.07093124e+01
 -9.35331154e+00 -5.16469097e+00 -3.96510291e+00 -4.71636534e+00
 -3.98739362e+00 -5.13177681e+00 -6.89247847e+00 -3.21457767e+00]","[0.3475669  0.16152611 0.18051155 0.09738383 0.19799498 0.3018668
 0.15889266 0.39970323 0.17115958 0.25921932 0.22781496 0.14741819]","[23.53805398 21.48863184 26.92793614 27.38747018 28.86296915 27.74585357
 45.66579652]",123.046875,0.0035816873,Q1_2Z9SjI131jA_4.mid,1
"[-593.15314    175.46309     -8.617036     3.7764308    2.480672
   -9.639833    -9.042409   -16.496777   -16.37295    -14.135477
   -9.311978    -8.137108    -8.5311985   -3.2312324    1.5971882
    2.1095345    1.379208    -1.4181671   -3.755719    -0.6659488]","[0.32438666 0.15414345 0.17822589 0.15027471 0.26958844 0.27246922
 0.20099926 0.46035334 0.20035733 0.29401967 0.14527906 0.12861922]","[25.32242525 24.16725477 28.82662012 28.2541373  28.98127492 26.26730595
 44.344237  ]",112.34714673913044,0.0038456814,Q1_2Z9SjI131jA_7.mid,1
"[-5.7309863e+02  1.7742209e+02 -1.1376705e+01  1.7722970e+00
  2.8814330e+00 -7.4212952e+00 -5.3243933e+00 -1.3907109e+01
 -1.4271001e+01 -1.0410030e+01 -9.0219078e+00 -8.2576895e+00
 -8.4928608e+00 -8.9229317e+00 -7.4054255e+00 -4.2001858e+00
 -2.8833207e-01 -1.1116908e+00 -5.7194138e+00 -5.0586686e+00]","[0.304115   0.13970192 0.15061809 0.11521358 0.27749935 0.36896494
 0.22310637 0.5227201  0.21564662 0.19814432 0.14403372 0.1310758 ]","[25.84673804 23.17318368 28.13795336 27.92875252 27.97773011 26.10479815
 45.09830428]",123.046875,0.0047714408,Q1_2Z9SjI131jA_8.mid,1
"[-6.11413330e+02  1.71778809e+02  6.65664673e+00 -4.83772278e-01
 -6.94297671e-01 -1.22503624e+01 -1.00269938e+01 -1.32242126e+01
 -1.56020145e+01 -1.43306875e+01 -1.30086746e+01 -1.22356558e+01
 -8.52493668e+00 -3.47859192e+00 -1.08680499e+00 -3.02953929e-01
 -8.05316493e-02 -2.80221796e+00 -6.07620049e+00 -3.17794967e+00]","[0.34256035 0.17865132 0.20038676 0.11786453 0.1798011  0.3579427
 0.17332251 0.29934067 0.1537835  0.33444837 0.25855651 0.13169768]","[20.85504131 23.3670825  29.41257268 29.49296151 29.34742306 25.72642573
 44.00902301]",112.34714673913044,0.003437538,Q1_2Z9SjI131jA_9.mid,1
"[-440.14127     200.73715     -40.668285     16.769539     -0.86429286
   -6.843447     -3.6145985   -10.834399     -8.347142    -11.384234
   -9.358336     -7.789315     -6.8989296    -7.1704774    -7.5389347
   -5.204835     -4.268188     -2.3218472    -2.9481823    -2.6419468 ]","[0.4801635  0.24923903 0.21184047 0.15586472 0.3200141  0.5542869
 0.27845064 0.423903   0.21523826 0.2592152  0.29321933 0.20849629]","[24.53802865 19.67320367 23.43111317 24.44652821 26.3957927  28.36408962
 48.4248622 ]",161.4990234375,0.0065745525,Q1_3ahg_eQZhxs_0.mid,1
"[-4.5253345e+02  1.8571783e+02 -4.0592300e+01  1.5398599e+01
 -4.2050915e+00 -8.3858328e+00 -4.5119643e+00 -9.5743713e+00
 -7.3330202e+00 -9.9560156e+00 -9.1913185e+00 -9.5971403e+00
 -7.5947738e+00 -5.3573871e+00 -4.3078909e+00 -2.3093395e+00
 -1.7776343e+00 -3.4322548e-01 -2.6041594e+00 -3.3760371e+00]","[0.40199506 0.21298559 0.29372674 0.1766054  0.23146512 0.40445504
 0.31254777 0.41929027 0.25108245 0.42148724 0.38669586 0.29723132]","[23.57549577 19.59265593 23.41838299 24.81049381 25.75187853 27.5904653
 49.17076306]",80.74951171875,0.007778791,Q1_3ahg_eQZhxs_1.mid,1
"[-4.7927884e+02  2.0781116e+02 -2.7268307e+01  4.4212971e+00
  1.0157071e+00 -1.0787528e+01 -4.6829705e+00 -1.4660036e+01
 -1.2621350e+01 -1.3744555e+01 -1.3323923e+01 -1.2327123e+01
 -1.1510114e+01 -4.8731909e+00 -2.1827867e+00 -2.4902887e+00
 -4.2561570e-01 -5.3349423e-01 -4.3322072e+00 -3.1090648e+00]","[0.20056197 0.13283034 0.36914432 0.22350435 0.12530625 0.13445093
 0.25294745 0.758817   0.27164602 0.26159525 0.2560637  0.27373743]","[22.49524965 21.27275636 26.04932857 25.66144444 27.02325104 27.834649
 45.81034847]",135.99917763157896,0.005374329,Q1_3N2G21U7guk_3.mid,1
"[-4.81455658e+02  1.92710251e+02 -2.55174332e+01  9.12218666e+00
  3.82574773e+00 -7.90621138e+00 -4.72684431e+00 -1.48631954e+01
 -1.37450695e+01 -1.35131016e+01 -1.24726162e+01 -1.31686373e+01
 -1.24602861e+01 -7.01667976e+00 -4.77546787e+00 -3.98525572e+00
 -1.53669083e+00  2.02980284e-02 -2.33926129e+00 -2.97681856e+00]","[0.2674639  0.23090726 0.17843327 0.36773756 0.1629047  0.23008725
 0.16674823 0.42883047 0.6540708  0.24717994 0.35837537 0.15671982]","[23.52820687 21.29812822 27.43164831 26.74827401 27.65910573 27.21962094
 45.48922335]",135.99917763157896,0.0070178737,Q1_3N2G21U7guk_5.mid,1
"[-447.27673    208.8174     -36.556824    14.186499     4.8132706
   -5.995562    -3.8269215  -12.394381    -8.006785   -11.367075
   -9.1030855   -8.732384    -9.464302    -6.2203717   -5.520377
   -4.2478156   -2.588783    -2.1140468   -4.2884007   -1.7795992]","[0.37961292 0.26380804 0.2344809  0.50960565 0.19871381 0.18579812
 0.12871851 0.31527555 0.68727463 0.22625978 0.19240014 0.148779  ]","[23.42302387 20.20901593 24.94286874 24.93091927 26.64249406 28.14153791
 46.17203711]",67.99958881578948,0.0063882377,Q1_3N2G21U7guk_6.mid,1
"[-5.3034100e+02  1.7095248e+02 -2.3330669e+01  1.4106328e+01
 -2.9399843e+00 -1.1072785e+01 -1.0508839e+01 -1.8952288e+01
 -1.6417360e+01 -1.6109615e+01 -9.4873486e+00 -9.5014210e+00
 -9.5695305e+00 -4.7783351e+00 -2.2330642e+00  4.8653728e-01
  3.8835444e+00  6.2911803e-01 -4.9643750e+00  4.4026899e-01]","[0.1552695  0.26340833 0.16541003 0.37412155 0.17266767 0.11262502
 0.2496942  0.37740037 0.5216183  0.15039009 0.17189519 0.21948507]","[21.45271126 23.38300052 27.73177844 27.1939328  27.52918542 26.92497377
 46.97033224]",129.19921875,0.0055375076,Q1_4dXC1cC7crw_0.mid,1
"[-454.2069     180.40451    -30.611141    16.213312    -4.506999
   -5.313472    -5.0840626  -11.746526    -7.7009363  -10.283657
   -8.1464615   -9.424248   -10.250318    -7.64221     -7.851412
   -7.187424    -4.5154443   -1.2863278   -3.0822048   -2.606169 ]","[0.17380513 0.21677032 0.17880562 0.3961097  0.245636   0.26038817
 0.6525362  0.28299487 0.34465256 0.18539324 0.28696808 0.26811656]","[25.45112951 19.43092604 24.61167415 25.46475748 26.16632528 26.75451799
 47.60182927]",129.19921875,0.008806201,Q1_4dXC1cC7crw_1.mid,1
"[-4.66166626e+02  1.66789886e+02 -3.41208344e+01  1.32661924e+01
 -6.13059282e-01 -4.78136730e+00 -1.97762501e+00 -8.73204327e+00
 -5.19564390e+00 -1.10330753e+01 -1.06585245e+01 -8.52460003e+00
 -9.15300083e+00 -3.57919049e+00  2.88250879e-03  4.34007421e-02
  1.50749779e+00  9.16949987e-01 -2.96190238e+00 -1.63547564e+00]","[0.14648934 0.12670547 0.24060728 0.20946266 0.18870023 0.49974996
 0.24984512 0.40533754 0.18277384 0.22729819 0.4107299  0.1917848 ]","[25.56493564 21.27586775 24.39932706 23.66328455 24.02853035 25.96312697
 47.40189412]",92.28515625,0.00965009,Q1_4ydjOX3pWds_0.mid,1
"[-4.5455972e+02  1.8566722e+02 -3.7585358e+01  1.6053093e+01
 -8.8777691e-01 -4.9388909e+00 -3.9187212e+00 -1.1159638e+01
 -6.4830446e+00 -1.2616801e+01 -1.1145003e+01 -8.8409634e+00
 -7.5819716e+00 -2.2000580e+00 -3.9227539e-01 -2.2529504e+00
 -1.5862676e+00 -1.6994932e+00 -6.5159235e+00 -4.5337362e+00]","[0.43611985 0.22676897 0.29076365 0.18937814 0.15787284 0.3914904
 0.21009782 0.33031246 0.18843983 0.3429012  0.42025357 0.24777223]","[24.62857445 18.8975167  24.46823367 23.00800099 24.39685716 26.10767835
 47.45363433]",92.28515625,0.008679488,Q1_4ydjOX3pWds_1.mid,1
"[-481.42462    207.36574    -24.22893      6.203424     4.719361
   -8.138346    -5.4959517  -13.72715    -11.887576   -12.599528
  -12.174103   -11.465327   -11.45248     -6.716586    -3.5932271
   -4.1666183   -3.5925016   -5.362393    -6.950763    -4.7952013]","[0.12305215 0.21665992 0.35123292 0.17003493 0.26173955 0.16453387
 0.36334282 0.24176657 0.23711385 0.6010996  0.22323124 0.28590044]","[23.69906403 20.23819147 25.34376661 26.08106535 27.73663006 27.4915951
 46.02003241]",129.19921875,0.0052630063,Q1_5Ju9q1N2x0E_2.mid,1
"[-433.71307     184.04146     -33.740383      7.2888765     0.8825777
   -9.276245     -4.63053     -11.263383     -9.616229     -7.3560576
   -4.2445035    -5.911854     -7.059789     -4.8580275    -5.003631
   -6.266035     -3.5759735    -2.2037523    -5.231679     -0.83428377]","[0.24303351 0.12917711 0.23958692 0.40288472 0.17805302 0.2801724
 0.307583   0.58396333 0.32617518 0.15110883 0.2419388  0.16708907]","[24.93697258 21.51144997 25.39559293 25.18245197 25.55849717 27.15850062
 48.80081962]",129.19921875,0.008156575,Q1_5NW0zDu6IYM_2.mid,1
"[-7.0963434e+02  1.0585835e+02  3.1180973e+01 -1.9142925e+00
 -6.0180750e+00 -6.0101800e+00 -5.9004607e+00 -6.4804506e+00
 -7.6033716e+00 -9.0636053e+00 -1.0189246e+01 -8.6157780e+00
 -4.4749856e+00 -1.7482877e+00 -1.5243230e+00 -6.6868204e-01
  2.2839506e+00  5.4250016e+00  6.4273028e+00  5.4725208e+00]","[0.38552612 0.18929005 0.26490253 0.18821803 0.11459757 0.23589763
 0.18187681 0.48197505 0.26203355 0.0797559  0.09984945 0.17973608]","[21.17438805 26.22450405 30.05411606 30.00837872 25.04311277 18.19971987
 42.58651876]",112.34714673913044,0.002356173,Q1_60LLKmpgzRM_0.mid,1
"[-5.3143109e+02  1.8159776e+02 -1.8251774e+01 -2.4014509e+00
  1.8397219e+00 -8.8698530e+00 -6.1569171e+00 -1.0161048e+01
 -9.6466913e+00 -8.8374929e+00 -8.9512711e+00 -1.0919579e+01
 -7.2366414e+00 -1.5299524e-01  5.8444005e-01 -2.9036632e+00
 -3.3990550e+00 -3.4201474e+00 -5.4028740e+00 -3.8340082e+00]","[0.21442483 0.20105445 0.46585485 0.26340735 0.14265174 0.13861455
 0.29211518 0.38515913 0.25741372 0.43313795 0.40038386 0.18476333]","[25.26216647 21.22838505 26.9301372  26.7561153  27.48318838 26.20795202
 45.3924426 ]",103.359375,0.00553412,Q1_6kRPHamGDSo_0.mid,1
"[-454.75064     185.04755     -33.932907     13.888481     -3.739512
   -8.387187     -4.575423    -10.781468     -6.7514467    -7.186272
   -8.058515    -10.508026     -7.7548556    -2.3044653     0.99452776
   -1.1373602    -1.4972026    -0.55658627   -3.6958406    -1.6037434 ]","[0.21737151 0.17027402 0.36741835 0.25550905 0.11039082 0.13792947
 0.4740719  0.38692966 0.1951829  0.45376775 0.33419105 0.15138993]","[23.0992978  17.65993097 23.0485295  22.77082314 24.11371721 27.08647084
 48.5522558 ]",107.666015625,0.0076388177,Q1_6kRPHamGDSo_1.mid,1
"[-4.8161038e+02  1.7031839e+02 -2.5174593e+01  1.3431491e+01
 -6.6694088e+00 -9.9693375e+00 -8.0367594e+00 -1.4444776e+01
 -1.2122606e+01 -1.1371187e+01 -1.0558857e+01 -1.2818485e+01
 -1.0167529e+01 -5.9593258e+00 -4.4401460e+00 -2.9824665e+00
 -1.2072967e+00  1.6352065e+00 -2.1912593e-01 -9.9621934e-01]","[0.25275365 0.13046904 0.16066918 0.22239073 0.22620173 0.18548417
 0.5087726  0.29228693 0.20157415 0.4866675  0.22268291 0.361304  ]","[24.61945574 20.63346569 26.00472038 25.16386125 25.02322824 25.96713181
 46.7631617 ]",107.666015625,0.009223525,Q1_6kRPHamGDSo_3.mid,1
"[-5.38895386e+02  1.97688095e+02 -1.57032022e+01  8.64112794e-01
  4.97841358e+00 -8.63894463e+00 -8.13564491e+00 -1.01796265e+01
 -8.98665047e+00 -1.12955475e+01 -9.32389069e+00 -8.38611317e+00
 -5.58671427e+00 -2.48390995e-02 -2.84942269e-01 -5.59109688e-01
  1.12522399e+00 -1.61990851e-01  9.76794541e-01 -2.47786105e-01]","[0.10105354 0.22823653 0.1368511  0.19628976 0.5479289  0.19845071
 0.20450641 0.10002263 0.23989339 0.77779186 0.20355788 0.13267304]","[25.28899735 21.93597933 27.73360568 26.75963387 27.96992424 25.92711359
 44.25597536]",95.703125,0.005106132,Q1_6Uf9XBUD3wE_0.mid,1
"[-499.25568    215.93896    -17.208324   -11.422578     1.077199
   -9.038977    -3.3282247   -4.567788    -4.4185414   -3.236214
   -6.0446215   -8.28802     -6.027117    -3.6558414   -4.7012258
   -3.472737    -1.8314676   -4.9111724   -4.136069    -4.8909373]","[0.12018822 0.28338337 0.19341208 0.19502664 0.560551   0.20333526
 0.2874745  0.1322018  0.27116302 0.63832927 0.20861304 0.18121547]","[24.60620832 18.36819412 23.70707606 26.15657096 27.07691372 27.23134732
 46.12668224]",143.5546875,0.00490635,Q1_6Uf9XBUD3wE_1.mid,1
"[-385.03558     187.29593     -44.362377     27.509714     -5.50213
   -3.4494328    -9.056057    -14.627784    -11.593422    -15.341124
   -7.6654067    -7.0738335    -7.740424     -7.911337     -7.056898
   -5.058264     -2.2640302    -0.72599834   -7.9871435    -7.7025757 ]","[0.11393053 0.21042849 0.4457836  0.206873   0.28029215 0.22283089
 0.5790159  0.4181402  0.22581355 0.5257897  0.22267571 0.26674592]","[24.32678952 19.5840494  23.94811733 24.56766335 25.48465697 27.55992372
 49.86794441]",99.38401442307692,0.009103318,Q1_6wFJhmhNeeg_0.mid,1
"[-4.47708435e+02  1.84666321e+02 -3.71802330e+01  1.53803940e+01
 -4.89427805e+00 -6.88762760e+00 -6.87408638e+00 -1.11663065e+01
 -8.74834538e+00 -1.11322336e+01 -7.61968803e+00 -9.44049740e+00
 -8.05064583e+00 -5.36348104e+00 -4.63746548e+00 -2.04411626e+00
  6.77816570e-02  6.03399217e-01 -2.61231756e+00 -1.86955035e+00]","[0.23146683 0.14608838 0.26374167 0.12739271 0.25640815 0.47664645
 0.2615302  0.35670745 0.1914812  0.39615148 0.29110298 0.14032805]","[24.64594543 20.85349954 25.12408174 24.79340508 26.0245044  27.61209388
 48.44862557]",161.4990234375,0.008318425,Q1_7yW9c7t8Hq0_1.mid,1
